title;artist;top genre;year;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop
Till the World Ends;Britney Spears;dance pop;2011;132;71;69;-6;20;45;238;2;7;64
I Knew You Were Trouble.;Taylor Swift;dance pop;2012;77;47;62;-7;4;68;218;0;4;64
Keep Holding On;Avril Lavigne;canadian pop;2007;161;79;27;-2;14;15;240;4;3;64
The Last Of The Real Ones;Fall Out Boy;emo;2018;115;87;58;-5;19;56;230;1;5;64
Bills, Bills, Bills;Destiny's Child;dance pop;1999;128;58;85;-5;8;46;256;14;15;64
Born To Be Yours;Kygo;edm;2018;114;69;69;-6;10;45;193;30;4;64
Kissing Strangers;DNCE;dance pop;2017;120;74;77;-6;9;86;202;5;4;64
Bad Girlfriend;Anne-Marie;dance pop;2018;144;70;75;-5;26;60;206;19;6;64
Ghost Town;Adam Lambert;dance pop;2015;120;74;70;-6;17;27;208;19;5;64
Breathe;Jax Jones;dance pop;2017;126;74;72;-6;14;69;208;2;4;64
Candyman;Christina Aguilera;dance pop;2006;173;79;69;-5;14;72;194;1;23;64
Russian Roulette;Rihanna;barbadian pop;2009;80;49;48;-6;11;27;228;5;4;64
Anywhere;Rita Ora;dance pop;2018;107;74;65;-6;9;34;216;3;7;64
Dinero;Jennifer Lopez;dance pop;2018;128;88;72;-3;29;64;214;41;34;63
Blow;Kesha;dance pop;2010;120;73;75;-4;7;81;220;0;4;63
Runnin';Adam Lambert;dance pop;2012;83;87;41;-4;15;39;229;1;8;63
Angel With A Shotgun;The Cab;emo;2011;124;84;55;-5;39;40;221;1;5;63
Vivo per lei;Andrea Bocelli;classical tenor;1995;136;46;53;-6;18;29;266;70;3;63
Youth;Daughter;chamber pop;2013;147;53;40;-11;12;41;253;89;4;63
Hundred Miles;Yall;;2015;98;71;48;-4;21;49;172;3;11;63
Firework;Katy Perry;dance pop;2010;124;83;64;-5;11;65;228;14;5;63
Jai Ho! (You Are My Destiny);A.R. Rahman;desi pop;2009;136;94;66;-4;8;88;222;5;6;63
Buttons;The Pussycat Dolls;dance pop;2005;211;82;57;-4;29;41;226;18;27;63
I See Fire;Ed Sheeran;pop;2013;76;5;63;-21;10;20;301;56;4;63
Ciao Adios;Anne-Marie;dance pop;2018;106;85;69;-4;32;50;200;14;9;63
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";Christina Aguilera;dance pop;2001;110;81;76;-4;66;64;265;2;5;63
Paparazzi;Lady Gaga;dance pop;2008;115;69;76;-4;10;40;208;11;4;63
Umbrella;Rihanna;barbadian pop;2007;174;83;58;-5;4;57;276;1;13;63
Everytime;Britney Spears;dance pop;2003;110;28;40;-13;12;11;230;97;3;62
Vanilla Twilight;Owl City;pop;2009;166;53;58;-8;11;57;232;1;2;62
arms;Christina Perri;dance pop;2011;145;76;46;-7;10;25;261;11;6;62
"Flashlight - From ""Pitch Perfect 2"" Soundtrack";Jessie J;dance pop;2015;148;62;38;-7;10;40;210;34;6;62
By Your Side;Sade;british soul;2000;146;43;65;-10;8;58;275;9;3;62
Cater 2 U;Destiny's Child;dance pop;2004;126;58;61;-7;24;46;245;29;20;62
Rain;The Script;celtic rock;2017;93;59;69;-8;36;61;209;24;11;62
Crying in the Rain;a-ha;dance rock;1990;182;55;39;-9;34;15;260;44;4;62
Does It Matter;Janieck;dutch pop;2017;126;76;73;-6;11;29;208;2;6;62
My Way;Ava Max;dance pop;2018;100;62;69;-5;9;40;142;6;4;62
Potential Breakup Song;Aly & AJ;dance pop;2007;158;89;57;-4;56;77;220;0;4;61
3;Britney Spears;dance pop;2009;135;71;70;-2;14;79;213;5;5;61
Muñequita Linda;Juan Magán;dance pop;2018;130;85;76;-4;9;42;211;0;5;61
I Found You (with Calvin Harris);benny blanco;pop;2018;123;87;79;-4;24;36;189;3;4;61
Fragile;Sting;permanent wave;1987;82;20;32;-21;9;29;236;91;4;61
Impossible Year;Panic! At The Disco;baroque pop;2016;86;34;17;-9;11;10;203;47;3;61
Music To Watch Boys To;Lana Del Rey;art pop;2015;132;49;40;-8;24;13;291;71;4;61
